DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-1,---,X,---,X,X,C25-B-107,DS,C25-B-107,AFL,X,---,X,C25-B-018(L),DSD(L),C25-B-018(L),DSD(L),X
TUE(0),CSE-1,---,X,C25-A-001,AFL,STW,C25-A-001,DS,C25-A-001,PS,DSD,---,X,---,X,---,X,X
WED(0),CSE-1,---,X,C25-A-302(L),DS(L),DS(L),C25-B-107,PS,C25-B-107,AFL,X,---,X,---,X,---,X,X
THU(1),CSE-1,---,X,---,X,X,C25-B-106,DS,C25-B-106,DSD,PS,---,X,C25-A-006,STW,C25-A-006,IND4,X
FRI(1),CSE-1,---,X,---,X,X,C25-B-107,AFL,C25-B-107,IND4,DSD,---,X,C25-A-008,DS,C25-A-008,PS,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-2,---,X,C25-B-018(L),DSD(L),DSD(L),C25-B-108,AFL,C25-B-108,PS,STW,---,X,---,X,---,X,X
TUE(1),CSE-2,---,X,---,X,X,---,X,C25-A-006,DSD,DS,---,X,C25-B-214(L),DS(L),C25-B-214(L),DS(L),X
WED(0),CSE-2,---,X,C25-B-310,DS,DSD,C25-B-108,PS,C25-B-108,AFL,X,---,X,---,X,---,X,X
THU(0),CSE-2,---,X,C25-B-310,STW,PS,C25-B-107,AFL,C25-B-107,IND4,DS,---,X,---,X,---,X,X
FRI(1),CSE-2,---,X,---,X,X,C25-B-108,DS,C25-B-108,AFL,PS,---,X,C25-A-009,IND4,C25-A-009,DSD,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-3,---,X,C25-A-018,PS,AFL,C25-B-109,DS,C25-B-109,IND4,STW,---,X,---,X,---,X,X
TUE(1),CSE-3,---,X,---,X,X,---,X,C25-A-007,STW,DSD,---,X,C25-B-018(L),DSD(L),C25-B-018(L),DSD(L),X
WED(1),CSE-3,---,X,---,X,X,C25-A-314,AFL,C25-A-004(L),DS(L),DS(L),---,X,C25-A-001,DS,C25-A-001,PS,X
THU(1),CSE-3,---,X,---,X,X,C25-B-108,PS,C25-B-108,DS,IND4,---,X,C25-A-007,DSD,C25-A-007,AFL,X
FRI(0),CSE-3,---,X,C25-B-309,X,AFL,C25-B-109,PS,C25-B-109,DS,DSD,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-4,---,X,---,X,X,C25-B-110,IND4,C25-B-110,DS,STW,---,X,C25-A-006,DSD,C25-A-006,AFL,X
TUE(0),CSE-4,---,X,C25-B-018(L),DSD(L),DSD(L),C25-B-013,DSD,C25-B-013,PS,DS,---,X,---,X,---,X,X
WED(0),CSE-4,---,X,C25-B-319,X,DSD,C25-B-109,AFL,C25-B-109,DS,PS,---,X,---,X,---,X,X
THU(0),CSE-4,---,X,C25-B-319,X,PS,C25-B-120,AFL,C25-A-003(L),DS(L),DS(L),---,X,---,X,---,X,X
FRI(1),CSE-4,---,X,---,X,X,C25-B-110,IND4,C25-B-110,AFL,STW,---,X,C25-A-010,PS,C25-A-010,DS,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-5,---,X,C25-A-114,IND4,DSD,C25-B-119,AFL,C25-B-119,PS,DS,---,X,---,X,---,X,X
TUE(1),CSE-5,---,X,---,X,X,---,X,C25-A-116,DSD,AFL,---,X,C25-B-110,PS,C25-B-110,DS,X
WED(1),CSE-5,---,X,---,X,X,C25-B-110,DS,C25-B-110,PS,AFL,---,X,C25-B-018(L),DSD(L),C25-B-018(L),DSD(L),X
THU(0),CSE-5,---,X,C25-A-014,STW,DSD,C25-B-109,AFL,C25-B-109,DS,IND4,---,X,---,X,---,X,X
FRI(0),CSE-5,---,X,C25-B-310,X,STW,C25-A-309,PS,C25-A-004(L),DS(L),DS(L),---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-6,---,X,C25-B-212(L),DS(L),DS(L),C25-B-201,DS,C25-B-201,AFL,PS,---,X,---,X,---,X,X
TUE(0),CSE-6,---,X,---,X,X,C25-A-114,DSD,C25-A-114,DS,PS,---,X,---,X,---,X,X
WED(1),CSE-6,---,X,---,X,X,C25-B-119,DSD,C25-B-119,IND4,AFL,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
THU(1),CSE-6,---,X,---,X,X,C25-B-110,DS,C25-B-110,AFL,DSD,---,X,C25-A-008,PS,C25-A-008,STW,X
FRI(0),CSE-6,---,X,C25-B-319,DS,PS,C25-B-119,AFL,C25-B-119,STW,IND4,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-7,---,X,---,X,X,C25-A-309,DSD,C25-A-309,DS,X,---,X,C25-A-007,PS,C25-A-007,AFL,X
TUE(0),CSE-7,---,X,C25-B-314(L),DS(L),DS(L),C25-B-015,DS,C25-B-015,IND4,X,---,X,---,X,---,X,X
WED(0),CSE-7,---,X,C25-A-014,DS,AFL,C25-B-201,STW,C25-B-201,PS,DSD,---,X,---,X,---,X,X
THU(1),CSE-7,---,X,---,X,X,C25-B-119,PS,C25-B-119,STW,AFL,---,X,C25-B-018(L),DSD(L),C25-B-018(L),DSD(L),X
FRI(1),CSE-7,---,X,---,X,X,C25-B-201,IND4,C25-B-201,DS,DSD,---,X,C25-A-011,PS,C25-A-011,AFL,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-8,---,X,---,X,X,C25-B-206,PS,C25-B-206,DS,X,---,X,C25-A-008,DSD,C25-A-008,AFL,X
TUE(1),CSE-8,---,X,---,X,X,---,X,C25-B-319,STW,DS,---,X,C25-B-119,AFL,C25-B-119,PS,X
WED(0),CSE-8,---,X,C25-A-303(L),DS(L),DS(L),C25-B-206,IND4,C25-B-206,AFL,DSD,---,X,---,X,---,X,X
THU(0),CSE-8,---,X,C25-B-018(L),DSD(L),DSD(L),C25-B-201,PS,C25-B-201,STW,DS,---,X,---,X,---,X,X
FRI(1),CSE-8,---,X,---,X,X,C25-B-206,DS,C25-B-206,AFL,IND4,---,X,C25-A-101,PS,C25-A-101,DSD,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-9,---,X,C25-A-115,AFL,IND4,C25-B-207,DSD,C25-B-207,DS,PS,---,X,---,X,---,X,X
TUE(1),CSE-9,---,X,---,X,X,---,X,C25-B-210,DSD,AFL,---,X,C25-B-201,PS,C25-B-201,STW,X
WED(1),CSE-9,---,X,---,X,X,C25-B-207,DS,C25-B-207,STW,DSD,---,X,C25-A-206,AFL,---,X,X
THU(1),CSE-9,---,X,---,X,X,C25-B-122,DS,C25-B-304(L),DS(L),DS(L),---,X,C25-A-009,IND4,C25-A-009,PS,X
FRI(0),CSE-9,---,X,C25-B-018(L),DSD(L),DSD(L),C25-B-207,DS,C25-B-207,PS,AFL,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-10,---,X,---,X,X,C25-B-208,IND4,C25-B-208,DS,PS,---,X,C25-A-009,DSD,C25-A-009,AFL,X
TUE(0),CSE-10,---,X,C25-B-202(L),DS(L),DS(L),C25-B-217,DS,C25-B-217,PS,AFL,---,X,---,X,---,X,X
WED(0),CSE-10,---,X,C25-A-015,X,AFL,C25-B-208,IND4,C25-B-208,STW,DS,---,X,---,X,---,X,X
THU(0),CSE-10,---,X,C25-A-015,X,AFL,C25-B-206,DSD,C25-B-206,DS,PS,---,X,---,X,---,X,X
FRI(1),CSE-10,---,X,---,X,X,C25-B-208,PS,C25-B-208,STW,DSD,---,X,C25-B-018(L),DSD(L),C25-B-018(L),DSD(L),X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-11,---,X,C25-B-118(L),DSD(L),DSD(L),C25-B-209,PS,C25-B-209,AFL,X,---,X,C25-A-001,DS,---,X,X
TUE(1),CSE-11,---,X,---,X,X,---,X,C25-B-106,DS,DSD,---,X,C25-B-206,PS,C25-B-206,AFL,X
WED(1),CSE-11,---,X,---,X,X,C25-B-209,DSD,C25-B-209,IND4,AFL,---,X,C25-B-314(L),DS(L),C25-B-314(L),DS(L),X
THU(0),CSE-11,---,X,C25-A-016,STW,IND4,C25-B-207,DSD,C25-B-207,PS,X,---,X,---,X,C25-A-010,DS,X
FRI(0),CSE-11,---,X,C25-A-014,X,PS,C25-B-209,DS,C25-B-209,AFL,X,---,X,C25-A-209,STW,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-12,---,X,C25-B-218(L),DSD(L),DSD(L),C25-B-210,DS,C25-B-210,AFL,PS,---,X,---,X,---,X,X
TUE(0),CSE-12,---,X,C25-B-203(L),DS(L),DS(L),C25-B-208,DSD,C25-B-208,PS,X,---,X,---,X,---,X,X
WED(1),CSE-12,---,X,---,X,X,C25-B-210,PS,C25-B-210,DS,X,---,X,C25-A-006,AFL,C25-A-006,STW,X
THU(1),CSE-12,---,X,---,X,X,C25-B-208,IND4,C25-B-208,AFL,DSD,---,X,C25-A-011,PS,C25-A-011,DS,X
FRI(0),CSE-12,---,X,C25-A-015,IND4,DS,C25-B-210,STW,C25-B-210,AFL,DSD,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-13,---,X,---,X,X,C25-B-219,STW,C25-B-219,IND4,AFL,---,X,C25-A-010,DS,C25-A-010,PS,X
TUE(0),CSE-13,---,X,C25-B-118(L),DSD(L),DSD(L),C25-B-209,DS,C25-B-209,DSD,AFL,---,X,---,X,---,X,X
WED(0),CSE-13,---,X,C25-A-304(L),DS(L),DS(L),C25-B-219,AFL,C25-B-219,PS,IND4,---,X,---,X,---,X,X
THU(1),CSE-13,---,X,---,X,X,C25-B-209,STW,C25-B-209,DSD,X,---,X,C25-A-101,PS,C25-A-101,DS,X
FRI(1),CSE-13,---,X,---,X,X,C25-B-219,DSD,C25-B-219,AFL,X,---,X,C25-A-106,DS,C25-A-106,PS,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-14,---,X,---,X,X,C25-B-301,DSD,C25-B-301,AFL,X,---,X,C25-A-011,PS,C25-A-011,DS,X
TUE(1),CSE-14,---,X,---,X,X,---,X,C25-A-106,DS,PS,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
WED(0),CSE-14,---,X,C25-A-016,DS,AFL,C25-B-301,PS,C25-B-301,STW,IND4,---,X,---,X,---,X,X
THU(0),CSE-14,---,X,C25-A-304(L),DS(L),DS(L),C25-B-210,DSD,C25-B-210,AFL,DS,---,X,---,X,---,X,X
FRI(1),CSE-14,---,X,---,X,X,C25-B-301,IND4,C25-B-301,STW,AFL,---,X,C25-A-107,DSD,C25-A-107,PS,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-15,---,X,C25-A-116,AFL,IND4,C25-B-306,PS,C25-B-306,DS,DSD,---,X,---,X,---,X,X
TUE(1),CSE-15,---,X,---,X,X,---,X,C25-A-110,DS,AFL,---,X,C25-B-207,DSD,C25-B-207,PS,X
WED(1),CSE-15,---,X,---,X,X,C25-B-306,DS,C25-B-306,PS,AFL,---,X,C25-B-218(L),DSD(L),C25-B-218(L),DSD(L),X
THU(1),CSE-15,---,X,---,X,X,---,X,C25-B-219,DS,DSD,---,X,C25-A-106,STW,C25-A-106,PS,X
FRI(0),CSE-15,---,X,C25-A-016,IND4,AFL,C25-A-310,STW,C25-A-003(L),DS(L),DS(L),---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-16,---,X,---,X,X,C25-B-307,AFL,C25-B-307,DSD,STW,---,X,C25-A-211,DS,---,X,X
TUE(0),CSE-16,---,X,C25-A-010,DS,AFL,C25-A-010,PS,C25-A-010,STW,X,---,X,---,X,---,X,X
WED(0),CSE-16,---,X,C25-B-018(L),DSD(L),DSD(L),C25-B-307,PS,C25-B-307,DSD,DS,---,X,---,X,---,X,X
THU(0),CSE-16,---,X,C25-A-018,IND4,AFL,C25-B-301,DS,C25-B-301,DSD,PS,---,X,---,X,---,X,X
FRI(1),CSE-16,---,X,---,X,X,C25-B-306,IND4,C25-B-306,PS,AFL,---,X,C25-A-003(L),DS(L),C25-A-003(L),DS(L),X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-17,---,X,C25-B-206,X,DSD,C25-B-106,STW,C25-B-106,DS,AFL,---,X,---,X,---,X,X
TUE(1),CSE-17,---,X,---,X,X,C25-B-210,AFL,C25-B-314(L),DS(L),DS(L),---,X,C25-B-208,PS,C25-B-208,DS,X
WED(1),CSE-17,---,X,---,X,X,C25-B-320,DS,C25-B-320,AFL,DSD,---,X,C25-A-207,PS,---,X,X
THU(0),CSE-17,---,X,C25-B-118(L),DSD(L),DSD(L),C25-B-306,AFL,C25-B-306,PS,IND4,---,X,---,X,---,X,X
FRI(0),CSE-17,---,X,C25-A-018,IND4,DS,C25-B-307,DSD,C25-B-307,PS,STW,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-18,---,X,---,X,X,C25-B-309,DS,C25-B-309,PS,IND4,---,X,---,X,---,X,X
TUE(0),CSE-18,---,X,C25-A-008,DSD,STW,C25-A-008,AFL,C25-A-008,DS,PS,---,X,---,X,---,X,X
WED(1),CSE-18,---,X,---,X,X,C25-B-309,PS,C25-B-309,AFL,DS,---,X,C25-A-103(L),DS(L),C25-A-103(L),DS(L),X
THU(1),CSE-18,---,X,---,X,X,C25-B-307,AFL,C25-B-307,DSD,STW,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
FRI(0),CSE-18,---,X,C25-A-114,PS,DSD,C25-B-217,IND4,C25-B-217,DS,AFL,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-19,---,X,---,X,X,C25-B-310,IND4,C25-B-310,DSD,PS,---,X,C25-A-101,DS,C25-A-101,AFL,X
TUE(0),CSE-19,---,X,C25-A-009,PS,IND4,C25-A-009,DSD,C25-A-009,DS,AFL,---,X,---,X,---,X,X
WED(0),CSE-19,---,X,C25-A-018,X,AFL,C25-B-310,DS,C25-B-310,DSD,PS,---,X,---,X,---,X,X
THU(1),CSE-19,---,X,---,X,X,C25-B-320,PS,C25-B-320,STW,X,---,X,C25-A-102(L),DS(L),C25-A-102(L),DS(L),X
FRI(1),CSE-19,---,X,---,X,X,C25-B-309,DS,C25-B-309,STW,AFL,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-20,---,X,---,X,X,C25-B-319,IND4,C25-B-319,DS,AFL,---,X,C25-A-106,DSD,C25-A-106,PS,X
